vehicle_id,timestamp,station_id,station_type,cycle_time,queue_length,throughput,torque,temperature,vibration,part_quality,operator_variation,sensor_coverage,inspection_result,defect
V00100,2026-01-05 09:03:50.524983,S26,Final Assembly,64.37,2.89,53.3,,,,0.886,0.073,MANUAL,,False
V00100,2026-01-05 09:04:54.893725,S27,Final Assembly,70.56,1.88,51.76,101.56,,0.361,0.858,-0.015,PARTIAL,,False
V00100,2026-01-05 09:06:05.454523,S28,Final Assembly,77.52,2.04,50.73,,,,0.892,-0.013,MANUAL,,False
V00100,2026-01-05 09:07:22.971245,S29,Final Assembly,74.47,2.05,46.8,,,,0.937,0.14,MANUAL,,False
V00100,2026-01-05 09:08:37.442386,S30,Final Assembly,63.82,2.26,56.62,100.3,26.81,0.402,0.991,-0.015,HIGH,PASS,False
V00101,2026-01-05 08:31:30.000000,S01,Body Construction,76.0,2.48,49.09,97.44,24.01,0.482,0.938,-0.042,HIGH,,False
V00101,2026-01-05 08:32:46.004881,S02,Body Construction,76.1,3.01,48.71,106.48,23.31,0.491,0.872,-0.012,HIGH,,False
V00101,2026-01-05 08:34:02.108143,S03,Body Construction,87.47,1.71,43.48,103.59,25.0,0.47,0.89,-0.006,HIGH,,False
V00101,2026-01-05 08:35:29.582382,S04,Body Construction,84.73,1.94,44.41,99.45,24.0,,0.936,-0.023,PARTIAL,,False
V00101,2026-01-05 08:36:54.312219,S05,Body Construction,72.59,2.7,52.2,92.68,,0.42,0.908,0.028,HIGH,,False
V00101,2026-01-05 08:38:06.904310,S06,Body Construction,76.06,1.66,50.19,100.9,25.38,0.434,0.932,-0.032,HIGH,,False
V00101,2026-01-05 08:39:22.964416,S07,Body Construction,71.43,0.91,45.97,99.49,,0.47,1.0,-0.068,PARTIAL,,False
V00101,2026-01-05 08:40:34.391058,S08,Body Construction,73.37,1.42,45.25,103.18,,,0.914,0.098,PARTIAL,,False
V00101,2026-01-05 08:41:47.762807,S09,Body Construction,68.3,2.06,44.43,101.47,23.5,0.364,0.858,-0.006,HIGH,,False
V00101,2026-01-05 08:42:56.064501,S10,Body Construction,73.5,2.97,50.58,101.51,24.67,0.615,0.922,0.032,HIGH,PASS,False
V00101,2026-01-05 08:44:09.563495,S11,Paint,92.51,3.83,41.57,95.93,60.36,0.544,0.935,0.043,HIGH,,False
V00101,2026-01-05 08:45:42.069261,S12,Paint,85.77,2.81,36.75,,64.02,0.603,0.943,0.015,PARTIAL,,False
V00101,2026-01-05 08:47:07.839557,S13,Paint,95.16,3.1,37.42,94.6,,,0.925,-0.046,PARTIAL,,False
V00101,2026-01-05 08:48:42.996881,S14,Paint,102.63,3.06,35.5,,,,0.959,-0.067,MANUAL,,False
V00101,2026-01-05 08:50:25.624186,S15,Paint,83.87,3.43,42.01,108.45,58.51,0.416,0.892,-0.025,HIGH,,False
V00101,2026-01-05 08:51:49.495900,S16,Paint,91.87,2.11,40.05,,,0.332,0.915,-0.053,PARTIAL,,False
V00101,2026-01-05 08:53:21.363363,S17,Paint,94.67,2.17,41.11,97.92,61.05,0.531,0.932,0.056,HIGH,,False
V00101,2026-01-05 08:54:56.036085,S18,Paint,111.38,2.83,37.29,95.42,,,0.866,0.027,PARTIAL,,False
V00101,2026-01-05 08:56:47.417095,S19,Paint,102.72,2.52,34.93,,,,0.897,-0.041,MANUAL,,False
V00101,2026-01-05 08:58:30.132922,S20,Paint,88.1,1.91,42.62,101.38,60.38,0.506,0.905,-0.035,HIGH,PASS,False
V00101,2026-01-05 08:59:58.233808,S21,Final Assembly,73.32,3.32,52.39,,,,0.972,0.226,MANUAL,,False
V00101,2026-01-05 09:01:11.556192,S22,Final Assembly,67.46,3.02,51.53,96.45,24.33,0.712,0.941,-0.024,HIGH,PASS,False
V00101,2026-01-05 09:02:19.021042,S23,Final Assembly,68.94,2.51,49.65,,,,0.9,-0.076,MANUAL,,False
V00101,2026-01-05 09:03:27.958669,S24,Final Assembly,78.85,2.17,48.06,,23.37,,0.924,-0.105,PARTIAL,,False
V00101,2026-01-05 09:04:46.807833,S25,Final Assembly,72.47,3.07,54.61,,,,0.843,-0.047,MANUAL,,False
V00101,2026-01-05 09:05:59.272838,S26,Final Assembly,66.32,2.35,52.57,,,,0.861,-0.051,MANUAL,,False
V00101,2026-01-05 09:07:05.594644,S27,Final Assembly,65.03,3.27,50.56,106.48,,0.465,0.983,0.011,PARTIAL,,False
V00101,2026-01-05 09:08:10.625316,S28,Final Assembly,76.32,3.33,49.96,,,,0.923,0.102,MANUAL,,False
V00101,2026-01-05 09:09:26.940820,S29,Final Assembly,73.76,1.15,47.67,,,,0.916,-0.305,MANUAL,,False
V00101,2026-01-05 09:10:40.703287,S30,Final Assembly,67.08,3.03,56.24,100.96,23.51,0.389,0.902,0.01,HIGH,PASS,False
V00102,2026-01-05 08:33:00.000000,S01,Body Construction,76.46,0.87,46.86,96.31,24.22,0.369,0.977,-0.025,HIGH,,False
V00102,2026-01-05 08:34:16.459432,S02,Body Construction,83.26,2.42,45.87,106.95,24.2,0.493,0.949,0.016,HIGH,,False
V00102,2026-01-05 08:35:39.722026,S03,Body Construction,74.9,1.83,45.73,103.25,24.2,0.445,0.906,-0.036,HIGH,,False
V00102,2026-01-05 08:36:54.622050,S04,Body Construction,84.92,1.51,43.65,100.72,23.99,,0.941,-0.019,PARTIAL,,False
V00102,2026-01-05 08:38:19.537647,S05,Body Construction,69.64,2.93,52.21,97.92,25.92,0.469,0.932,0.02,HIGH,,False
V00102,2026-01-05 08:39:29.174765,S06,Body Construction,73.94,1.7,48.22,101.61,25.59,0.353,1.0,-0.009,HIGH,,False
V00102,2026-01-05 08:40:43.117304,S07,Body Construction,80.22,1.41,45.08,95.23,,0.503,0.92,0.067,PARTIAL,,False
V00102,2026-01-05 08:42:03.334514,S08,Body Construction,79.38,2.33,49.55,98.27,,,0.942,0.009,PARTIAL,,False
V00102,2026-01-05 08:43:22.718152,S09,Body Construction,89.29,3.1,43.7,99.14,23.22,0.589,0.947,0.08,HIGH,,False
V00102,2026-01-05 08:44:52.010729,S10,Body Construction,76.19,1.15,50.59,88.91,24.14,0.381,0.996,0.035,HIGH,PASS,False
V00102,2026-01-05 08:46:08.198576,S11,Paint,87.25,4.19,42.52,94.55,59.64,0.543,0.909,0.014,HIGH,,False
V00102,2026-01-05 08:47:35.445387,S12,Paint,103.88,1.88,38.19,,59.65,0.427,0.951,0.009,PARTIAL,,False
V00102,2026-01-05 08:49:19.328054,S13,Paint,98.74,2.75,36.87,98.33,,,0.942,-0.052,PARTIAL,,False
V00102,2026-01-05 08:50:58.068345,S14,Paint,98.95,1.75,35.26,,,,0.976,-0.049,MANUAL,,False
V00102,2026-01-05 08:52:37.014867,S15,Paint,85.0,1.35,41.21,103.2,59.28,0.767,0.943,-0.038,HIGH,,False
V00102,2026-01-05 08:54:02.019524,S16,Paint,95.87,2.0,40.85,,,0.474,0.999,-0.061,PARTIAL,,False
V00102,2026-01-05 08:55:37.893080,S17,Paint,84.3,2.62,42.07,103.89,60.7,0.452,1.0,0.014,HIGH,,False
V00102,2026-01-05 08:57:02.190285,S18,Paint,99.12,3.79,35.7,96.75,61.19,,0.927,-0.013,PARTIAL,,False
V00102,2026-01-05 08:58:41.310606,S19,Paint,91.46,2.59,36.22,,,,0.93,-0.109,MANUAL,,False
V00102,2026-01-05 09:00:12.769828,S20,Paint,81.69,3.29,41.52,,60.54,0.553,0.865,0.002,HIGH,PASS,False
V00102,2026-01-05 09:01:34.456374,S21,Final Assembly,60.41,2.02,57.38,,,,0.966,-0.064,MANUAL,,False
V00102,2026-01-05 09:02:34.863327,S22,Final Assembly,73.0,3.44,51.77,104.18,26.03,0.479,1.0,0.017,HIGH,PASS,False
V00102,2026-01-05 09:03:47.867719,S23,Final Assembly,68.76,1.85,47.25,,,,0.933,-0.117,MANUAL,,False
V00102,2026-01-05 09:04:56.632381,S24,Final Assembly,73.45,0.72,49.02,,25.7,,0.935,0.02,PARTIAL,,False
V00102,2026-01-05 09:06:10.079427,S25,Final Assembly,68.72,2.58,52.82,,,,0.901,0.039,MANUAL,,False
V00102,2026-01-05 09:07:18.799638,S26,Final Assembly,64.15,0.62,53.25,,,,0.93,0.014,MANUAL,,False
V00102,2026-01-05 09:08:22.946031,S27,Final Assembly,76.75,1.73,51.88,94.47,,0.379,0.92,0.142,PARTIAL,,False
V00102,2026-01-05 09:09:39.693359,S28,Final Assembly,78.55,1.91,47.82,,,,0.959,-0.168,MANUAL,,False
V00102,2026-01-05 09:10:58.246804,S29,Final Assembly,72.79,2.43,46.71,,,,0.996,0.034,MANUAL,,False
V00102,2026-01-05 09:12:11.037628,S30,Final Assembly,61.08,3.8,54.52,99.32,24.75,0.452,0.913,-0.005,HIGH,PASS,False
V00103,2026-01-05 08:34:30.000000,S01,Body Construction,77.69,0.99,49.26,99.96,25.16,0.35,0.953,-0.037,HIGH,,False
V00103,2026-01-05 08:35:47.694548,S02,Body Construction,73.68,0.92,46.9,102.36,24.29,0.544,0.886,0.022,HIGH,,False
V00103,2026-01-05 08:37:01.374527,S03,Body Construction,86.77,2.7,43.78,98.88,23.31,0.753,0.911,-0.001,HIGH,,False
V00103,2026-01-05 08:38:28.139718,S04,Body Construction,79.05,2.19,45.72,99.8,22.71,,0.924,-0.011,PARTIAL,,False
V00103,2026-01-05 08:39:47.186596,S05,Body Construction,60.18,1.9,50.81,97.0,23.36,0.69,0.987,-0.022,HIGH,,False
V00103,2026-01-05 08:40:47.363060,S06,Body Construction,79.0,3.29,48.49,91.51,24.46,,0.946,-0.017,HIGH,,False
V00103,2026-01-05 08:42:06.360654,S07,Body Construction,72.44,1.55,45.52,96.47,,0.51,0.887,0.066,PARTIAL,,False
V00103,2026-01-05 08:43:18.805078,S08,Body Construction,78.64,3.31,45.63,99.03,,,0.964,0.096,PARTIAL,,False
V00103,2026-01-05 08:44:37.445550,S09,Body Construction,78.42,2.51,44.62,100.29,23.5,0.442,0.906,-0.025,HIGH,,False
V00103,2026-01-05 08:45:55.869434,S10,Body Construction,69.56,1.4,52.06,100.59,23.67,0.507,0.92,0.023,HIGH,PASS,False
V00103,2026-01-05 08:47:05.430545,S11,Paint,91.01,1.96,41.3,96.04,58.63,0.378,0.911,0.045,HIGH,,False
V00103,2026-01-05 08:48:36.435846,S12,Paint,89.41,1.23,39.13,,59.49,0.473,0.978,0.037,PARTIAL,,False
V00103,2026-01-05 08:50:05.846104,S13,Paint,89.75,2.12,35.13,105.65,,,0.887,0.001,PARTIAL,,False
V00103,2026-01-05 08:51:35.592190,S14,Paint,99.02,3.64,36.51,,,,0.919,-0.001,MANUAL,,False
V00103,2026-01-05 08:53:14.612605,S15,Paint,79.17,1.99,42.33,97.57,59.56,0.525,0.907,-0.015,HIGH,,False
V00103,2026-01-05 08:54:33.784183,S16,Paint,78.95,2.96,40.56,,,0.484,0.95,0.127,PARTIAL,,False
V00103,2026-01-05 08:55:52.735377,S17,Paint,94.41,1.22,39.21,92.56,62.04,0.648,0.894,-0.027,HIGH,,False
V00103,2026-01-05 08:57:27.145572,S18,Paint,97.93,2.29,36.96,96.86,58.31,,0.978,-0.006,PARTIAL,,False
V00103,2026-01-05 08:59:05.077745,S19,Paint,100.78,3.5,35.65,,,,0.885,0.225,MANUAL,,False
V00103,2026-01-05 09:00:45.858115,S20,Paint,97.16,2.83,42.92,97.81,58.64,0.372,1.0,-0.001,HIGH,PASS,False
V00103,2026-01-05 09:02:23.022637,S21,Final Assembly,64.69,2.65,50.55,,,,0.883,-0.205,MANUAL,,False
V00103,2026-01-05 09:03:27.715723,S22,Final Assembly,67.21,2.13,52.19,98.31,24.36,0.456,1.0,-0.018,HIGH,PASS,False
V00103,2026-01-05 09:04:34.924270,S23,Final Assembly,77.67,2.0,48.89,,,,0.884,0.186,MANUAL,,False
V00103,2026-01-05 09:05:52.593734,S24,Final Assembly,79.71,1.23,46.16,,23.97,,0.896,-0.019,PARTIAL,,False
V00103,2026-01-05 09:07:12.302899,S25,Final Assembly,68.07,3.34,56.79,,,,0.864,-0.129,MANUAL,,False
V00103,2026-01-05 09:08:20.372916,S26,Final Assembly,74.12,1.55,53.02,,,,0.931,-0.063,MANUAL,,False
V00103,2026-01-05 09:09:34.491998,S27,Final Assembly,71.22,1.48,51.43,96.4,,0.459,0.916,0.07,PARTIAL,,False
V00103,2026-01-05 09:10:45.710722,S28,Final Assembly,69.68,2.9,50.03,,,,0.963,0.094,MANUAL,,False
V00103,2026-01-05 09:11:55.389769,S29,Final Assembly,73.35,2.89,50.57,,,,0.94,0.125,MANUAL,,False
V00103,2026-01-05 09:13:08.736575,S30,Final Assembly,61.92,2.52,54.64,90.34,24.52,0.545,0.888,0.047,HIGH,PASS,False
V00104,2026-01-05 08:36:00.000000,S01,Body Construction,74.13,1.67,49.47,104.59,24.85,0.558,0.879,0.034,HIGH,,False
V00104,2026-01-05 08:37:14.126838,S02,Body Construction,71.17,1.92,46.87,99.84,23.81,0.662,0.878,-0.0,HIGH,,False
V00104,2026-01-05 08:38:25.291923,S03,Body Construction,73.72,2.54,44.58,96.8,25.55,0.507,0.936,0.025,HIGH,,False
V00104,2026-01-05 08:39:39.010960,S04,Body Construction,75.84,1.51,44.13,,23.01,,0.916,0.031,PARTIAL,,False
V00104,2026-01-05 08:40:54.854030,S05,Body Construction,73.15,3.45,51.39,100.4,24.38,0.54,0.967,0.028,HIGH,,False
V00104,2026-01-05 08:42:08.003527,S06,Body Construction,75.27,3.21,49.35,97.05,23.87,0.392,0.905,-0.034,HIGH,,False
V00104,2026-01-05 08:43:23.278338,S07,Body Construction,77.57,2.28,44.85,102.6,,0.545,0.903,0.017,PARTIAL,,False
V00104,2026-01-05 08:44:40.846797,S08,Body Construction,79.37,1.48,44.61,94.85,,,0.896,-0.018,PARTIAL,,False
V00104,2026-01-05 08:46:00.220182,S09,Body Construction,74.1,2.66,46.59,105.91,24.75,0.527,0.933,-0.027,HIGH,,False
V00104,2026-01-05 08:47:14.320370,S10,Body Construction,72.9,2.52,50.67,99.84,23.24,0.578,0.947,-0.007,HIGH,PASS,False
V00104,2026-01-05 08:48:27.218604,S11,Paint,89.93,1.54,39.51,96.23,61.31,0.548,0.91,-0.021,HIGH,,False
V00104,2026-01-05 08:49:57.151890,S12,Paint,88.79,4.6,38.79,,58.58,0.496,0.91,0.008,PARTIAL,,False
V00104,2026-01-05 08:51:25.945316,S13,Paint,97.7,3.48,35.03,96.44,,,0.934,-0.045,PARTIAL,,False
V00104,2026-01-05 08:53:03.643011,S14,Paint,102.17,3.44,35.71,,,,0.895,-0.1,MANUAL,,False
V00104,2026-01-05 08:54:45.808168,S15,Paint,84.36,2.99,41.67,106.25,58.92,0.356,0.946,-0.028,HIGH,,False
V00104,2026-01-05 08:56:10.164200,S16,Paint,100.49,3.34,41.13,,,0.38,0.971,0.09,PARTIAL,,False
V00104,2026-01-05 08:57:50.659187,S17,Paint,86.11,1.55,38.9,101.82,,0.315,0.915,-0.007,HIGH,,False
V00104,2026-01-05 08:59:16.766313,S18,Paint,93.81,1.47,37.76,100.61,59.78,,0.911,0.03,PARTIAL,,False
V00104,2026-01-05 09:00:50.575555,S19,Paint,104.13,3.86,36.77,,,,0.935,-0.199,MANUAL,,False
V00104,2026-01-05 09:02:34.710508,S20,Paint,85.14,4.34,45.89,100.47,60.73,0.698,0.891,0.08,HIGH,PASS,False
V00104,2026-01-05 09:03:59.849522,S21,Final Assembly,63.23,2.25,51.66,,,,0.989,0.068,MANUAL,,False
V00104,2026-01-05 09:05:03.075294,S22,Final Assembly,77.05,2.02,51.3,93.03,24.46,0.548,0.867,-0.012,HIGH,PASS,False
V00104,2026-01-05 09:06:20.129923,S23,Final Assembly,72.09,3.08,48.33,,,,0.918,0.285,MANUAL,,False
V00104,2026-01-05 09:07:32.224830,S24,Final Assembly,73.46,3.31,45.42,,22.79,,1.0,-0.049,PARTIAL,,False
V00104,2026-01-05 09:08:45.683703,S25,Final Assembly,66.57,2.77,55.31,,,,0.939,0.006,MANUAL,,False
V00104,2026-01-05 09:09:52.250980,S26,Final Assembly,69.52,1.71,55.42,,,,0.921,0.041,MANUAL,,False
V00104,2026-01-05 09:11:01.770947,S27,Final Assembly,73.67,2.41,52.11,96.84,,0.562,0.84,-0.008,PARTIAL,,False
V00104,2026-01-05 09:12:15.437639,S28,Final Assembly,68.61,3.53,48.08,,,,1.0,0.118,MANUAL,,False
V00104,2026-01-05 09:13:24.047316,S29,Final Assembly,82.15,4.12,47.15,,,,0.93,0.023,MANUAL,,False
V00104,2026-01-05 09:14:46.193461,S30,Final Assembly,64.39,1.28,55.14,99.83,23.69,0.294,0.922,0.027,HIGH,PASS,False
V00105,2026-01-05 08:37:30.000000,S01,Body Construction,69.0,1.46,48.89,95.53,23.92,0.367,0.968,0.032,HIGH,,False
V00105,2026-01-05 08:38:38.997310,S02,Body Construction,71.43,1.43,46.77,100.55,24.56,0.544,0.992,0.002,HIGH,,False
V00105,2026-01-05 08:39:50.422776,S03,Body Construction,72.83,0.71,47.81,102.05,24.54,0.516,0.947,-0.011,HIGH,,False
V00105,2026-01-05 08:41:03.249013,S04,Body Construction,87.19,1.58,42.71,94.33,25.52,,0.875,0.017,PARTIAL,,False
V00105,2026-01-05 08:42:30.440581,S05,Body Construction,67.27,3.24,53.09,95.75,23.09,0.384,0.928,0.025,HIGH,,False
V00105,2026-01-05 08:43:37.706096,S06,Body Construction,72.64,1.59,46.05,99.38,22.39,0.628,0.907,0.006,HIGH,,False
V00105,2026-01-05 08:44:50.348218,S07,Body Construction,74.18,1.06,47.99,96.12,,0.63,0.93,0.066,PARTIAL,,False
V00105,2026-01-05 08:46:04.528143,S08,Body Construction,82.47,3.02,44.49,97.92,,,0.96,0.018,PARTIAL,,False
V00105,2026-01-05 08:47:26.998797,S09,Body Construction,85.14,1.2,45.13,102.7,25.16,0.569,0.926,0.021,HIGH,,False
V00105,2026-01-05 08:48:52.142374,S10,Body Construction,74.67,2.5,51.7,100.82,25.82,0.332,0.931,-0.012,HIGH,PASS,False
V00105,2026-01-05 08:50:06.807674,S11,Paint,90.63,2.11,43.04,93.57,58.75,,0.971,0.016,HIGH,,False
V00105,2026-01-05 08:51:37.437420,S12,Paint,101.22,2.34,39.47,,61.33,0.331,1.0,-0.009,PARTIAL,,False
V00105,2026-01-05 08:53:18.653101,S13,Paint,87.65,2.45,37.23,92.8,,,0.956,-0.064,PARTIAL,,False
V00105,2026-01-05 08:54:46.302529,S14,Paint,114.7,3.41,35.85,,,,0.917,-0.006,MANUAL,,False
V00105,2026-01-05 08:56:41.007398,S15,Paint,82.62,4.17,42.04,102.69,58.35,0.49,0.896,-0.021,HIGH,,False
V00105,2026-01-05 08:58:03.628251,S16,Paint,83.34,2.57,41.64,,,0.551,0.935,0.017,PARTIAL,,False
V00105,2026-01-05 08:59:26.968746,S17,Paint,100.94,1.6,39.55,99.83,59.26,0.571,0.868,-0.051,HIGH,,False
V00105,2026-01-05 09:01:07.911387,S18,Paint,96.34,4.15,37.71,103.74,59.52,,0.907,-0.019,PARTIAL,,False
V00105,2026-01-05 09:02:44.253361,S19,Paint,99.85,2.56,35.57,,,,0.886,0.042,MANUAL,,False
V00105,2026-01-05 09:04:24.102873,S20,Paint,82.48,3.16,41.51,105.54,58.74,0.552,0.988,-0.028,HIGH,PASS,False
V00105,2026-01-05 09:05:46.585105,S21,Final Assembly,71.0,1.45,51.71,,,,0.9,0.115,MANUAL,,False
V00105,2026-01-05 09:06:57.584147,S22,Final Assembly,67.34,1.37,48.5,104.0,25.5,0.374,0.921,0.073,HIGH,PASS,False
V00105,2026-01-05 09:08:04.923159,S23,Final Assembly,71.5,2.48,49.42,,,,0.901,-0.123,MANUAL,,False
V00105,2026-01-05 09:09:16.421625,S24,Final Assembly,85.35,2.17,46.26,,24.52,,0.976,0.036,PARTIAL,,False
V00105,2026-01-05 09:10:41.774361,S25,Final Assembly,64.26,1.97,57.19,,,,0.965,-0.251,MANUAL,,False
V00105,2026-01-05 09:11:46.029856,S26,Final Assembly,66.5,3.43,52.95,,,,0.94,0.204,MANUAL,,False
V00105,2026-01-05 09:12:52.525713,S27,Final Assembly,76.56,3.13,51.93,96.09,,0.373,0.895,-0.002,PARTIAL,,False
V00105,2026-01-05 09:14:09.083265,S28,Final Assembly,68.56,2.47,48.42,,,,0.84,-0.014,MANUAL,,False
V00105,2026-01-05 09:15:17.644226,S29,Final Assembly,71.47,1.98,49.29,,,,0.936,-0.091,MANUAL,,False
V00105,2026-01-05 09:16:29.111200,S30,Final Assembly,61.63,1.87,56.71,96.7,24.19,0.508,0.953,-0.014,HIGH,PASS,False
V00106,2026-01-05 08:39:00.000000,S01,Body Construction,72.0,2.34,47.82,102.7,22.68,0.389,0.926,-0.017,HIGH,,False
V00106,2026-01-05 08:40:12.004378,S02,Body Construction,79.44,1.77,47.8,97.4,25.58,0.485,0.908,-0.026,HIGH,,False
V00106,2026-01-05 08:41:31.445384,S03,Body Construction,78.91,3.13,43.71,95.57,23.51,0.526,0.867,-0.013,HIGH,,False
V00106,2026-01-05 08:42:50.356412,S04,Body Construction,83.43,2.1,44.35,97.8,23.28,,0.838,-0.017,PARTIAL,,False
V00106,2026-01-05 08:44:13.785767,S05,Body Construction,70.42,3.08,51.56,,25.5,0.462,0.874,-0.048,HIGH,,False
V00106,2026-01-05 08:45:24.201051,S06,Body Construction,75.91,2.18,48.94,98.69,24.25,0.548,0.886,-0.053,HIGH,,False
V00106,2026-01-05 08:46:40.110226,S07,Body Construction,71.83,0.92,45.37,99.04,,0.591,0.969,0.017,PARTIAL,,False
V00106,2026-01-05 08:47:51.944544,S08,Body Construction,85.89,3.57,44.82,104.72,,,0.905,0.028,PARTIAL,,False
V00106,2026-01-05 08:49:17.836048,S09,Body Construction,72.66,3.17,44.54,95.86,22.75,0.649,0.923,-0.052,HIGH,,False
V00106,2026-01-05 08:50:30.497399,S10,Body Construction,70.93,2.56,52.2,,23.16,0.554,0.935,-0.004,HIGH,PASS,False
V00106,2026-01-05 08:51:41.428212,S11,Paint,87.17,3.03,40.08,100.86,61.88,0.442,0.967,0.029,HIGH,,False
V00106,2026-01-05 08:53:08.593429,S12,Paint,93.93,3.06,37.86,,59.95,0.618,0.912,-0.024,PARTIAL,,False
V00106,2026-01-05 08:54:42.518940,S13,Paint,87.31,3.51,37.73,105.51,,,0.954,0.046,PARTIAL,,False
V00106,2026-01-05 08:56:09.830208,S14,Paint,89.84,2.12,34.29,,,,0.88,0.038,MANUAL,,False
V00106,2026-01-05 08:57:39.667920,S15,Paint,74.14,2.06,42.61,99.52,60.06,0.613,0.944,-0.0,HIGH,,False
V00106,2026-01-05 08:58:53.802930,S16,Paint,83.68,3.74,40.98,,,0.529,0.947,0.07,PARTIAL,,False
V00106,2026-01-05 09:00:17.481288,S17,Paint,100.38,2.87,37.3,91.59,59.29,0.65,0.991,0.029,HIGH,,False
V00106,2026-01-05 09:01:57.857322,S18,Paint,104.16,2.43,35.43,91.89,58.66,,0.937,0.008,PARTIAL,,False
V00106,2026-01-05 09:03:42.018244,S19,Paint,96.82,3.46,34.93,,,,0.957,-0.122,MANUAL,,False
V00106,2026-01-05 09:05:18.839046,S20,Paint,85.89,3.46,39.76,100.38,60.25,0.679,0.968,-0.045,HIGH,PASS,False
V00106,2026-01-05 09:06:44.728609,S21,Final Assembly,73.03,1.85,52.37,,,,0.905,-0.001,MANUAL,,False
V00106,2026-01-05 09:07:57.761002,S22,Final Assembly,70.04,2.98,50.67,106.79,23.05,0.637,0.943,0.005,HIGH,PASS,False
V00106,2026-01-05 09:09:07.803051,S23,Final Assembly,69.38,1.4,48.69,,,,0.938,0.123,MANUAL,,False
V00106,2026-01-05 09:10:17.180351,S24,Final Assembly,72.41,1.21,48.71,,25.03,,0.915,-0.039,PARTIAL,,False
V00106,2026-01-05 09:11:29.585479,S25,Final Assembly,57.21,1.7,55.49,,,,0.928,-0.113,MANUAL,,False
V00106,2026-01-05 09:12:26.800076,S26,Final Assembly,73.19,1.88,55.29,,,,0.888,-0.033,MANUAL,,False
V00106,2026-01-05 09:13:39.991569,S27,Final Assembly,70.4,4.61,49.35,93.75,,0.549,0.902,0.001,PARTIAL,,False
V00106,2026-01-05 09:14:50.395306,S28,Final Assembly,82.64,2.53,49.12,,,,0.909,-0.182,MANUAL,,False
V00106,2026-01-05 09:16:13.032004,S29,Final Assembly,77.64,2.67,46.49,,,,0.952,-0.16,MANUAL,,False
V00106,2026-01-05 09:17:30.669537,S30,Final Assembly,70.71,1.51,53.49,101.94,24.93,0.556,0.909,0.003,HIGH,PASS,False
V00107,2026-01-05 08:40:30.000000,S01,Body Construction,73.76,2.05,48.57,94.33,,0.53,0.838,0.024,HIGH,,False
V00107,2026-01-05 08:41:43.763255,S02,Body Construction,75.76,1.25,45.91,95.61,23.04,0.67,0.945,0.061,HIGH,,False
V00107,2026-01-05 08:42:59.521448,S03,Body Construction,80.07,2.46,44.37,99.29,24.74,0.495,0.944,0.009,HIGH,,False
V00107,2026-01-05 08:44:19.591449,S04,Body Construction,80.51,1.68,43.02,102.49,24.39,,0.973,-0.119,PARTIAL,,False
V00107,2026-01-05 08:45:40.101389,S05,Body Construction,71.27,1.0,52.03,95.86,24.41,0.522,0.921,-0.003,HIGH,,False
V00107,2026-01-05 08:46:51.373862,S06,Body Construction,73.71,2.94,48.85,102.95,25.55,0.476,0.903,-0.033,HIGH,,False
V00107,2026-01-05 08:48:05.081281,S07,Body Construction,75.85,1.37,49.36,95.66,,0.619,0.959,0.064,PARTIAL,,False
V00107,2026-01-05 08:49:20.927082,S08,Body Construction,79.17,2.1,47.93,107.02,,,0.882,-0.002,PARTIAL,,False
V00107,2026-01-05 08:50:40.096509,S09,Body Construction,89.36,2.6,43.75,105.45,24.91,0.537,0.952,0.018,HIGH,,False
V00107,2026-01-05 08:52:09.460639,S10,Body Construction,75.46,3.16,50.68,104.24,23.84,0.369,0.894,-0.025,HIGH,PASS,False
V00107,2026-01-05 08:53:24.919270,S11,Paint,85.02,3.83,40.09,100.96,59.58,0.51,0.962,0.034,HIGH,,False
V00107,2026-01-05 08:54:49.934411,S12,Paint,90.0,3.79,36.76,,60.54,0.613,0.965,-0.098,PARTIAL,,False
V00107,2026-01-05 08:56:19.930600,S13,Paint,94.4,3.57,37.88,95.32,,,0.937,0.014,PARTIAL,,False
V00107,2026-01-05 08:57:54.327708,S14,Paint,104.05,4.17,35.91,,,,0.859,0.052,MANUAL,,False
V00107,2026-01-05 08:59:38.376254,S15,Paint,90.97,3.82,43.56,100.21,61.43,0.587,0.989,-0.02,HIGH,,False
V00107,2026-01-05 09:01:09.350674,S16,Paint,85.37,2.73,39.31,,,0.525,0.944,-0.088,PARTIAL,,False
V00107,2026-01-05 09:02:34.725050,S17,Paint,90.32,2.77,38.77,93.3,59.48,0.606,0.94,0.031,HIGH,,False
V00107,2026-01-05 09:04:05.046357,S18,Paint,96.29,3.0,37.67,97.91,58.21,,0.963,0.076,PARTIAL,,False
V00107,2026-01-05 09:05:41.333808,S19,Paint,96.31,1.61,36.63,,,,0.911,-0.115,MANUAL,,False
V00107,2026-01-05 09:07:17.648477,S20,Paint,88.53,2.35,42.37,107.41,59.86,0.491,0.957,0.016,HIGH,PASS,False
V00107,2026-01-05 09:08:46.177199,S21,Final Assembly,66.32,1.97,52.49,,,,0.938,-0.164,MANUAL,,False
V00107,2026-01-05 09:09:52.499695,S22,Final Assembly,78.09,2.37,47.27,98.02,22.1,0.635,0.933,0.021,HIGH,PASS,False
V00107,2026-01-05 09:11:10.588185,S23,Final Assembly,76.32,2.75,48.59,,,,0.938,0.046,MANUAL,,False
